ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
kasuari,kasuari,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",1,kasuari_mp3 kasuari_wav kasuari_eaf kasuari_xml kasuari_tsv,83,KL01,female,57,no,1961,no,TN,2018,264.6920634920635,visser2020
keluer,keluer,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",2,keluer_mp3 keluer_wav keluer_eaf keluer_xml keluer_tsv,103,KL01,female,57,no,1961,no,TN,2018,333.7532879818594,visser2020
kuawi,kuawi,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",3,kuawi_mp3 kuawi_wav kuawi_eaf kuawi_xml kuawi_tsv,161,KL02,male,68,no,1950,no,TN,2018,533.2634920634921,visser2020
monyet,monyet,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",4,monyet_mp3 monyet_wav monyet_eaf monyet_xml monyet_tsv,317,KL03,male,59,no,1960,no,TN,2019,1018.6104308390022,visser2020
pitiskiet,pitiskiet,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",5,pitiskiet_mp3 pitiskiet_wav pitiskiet_eaf pitiskiet_xml pitiskiet_tsv,184,KL01,female,57,no,1961,no,TN,2018,622.4675736961451,visser2020
yardakdak,yardakdak,,Eline Visser,"Visser, Eline. 2022. Multi-CAST Kalamang. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#kalamang) (date accessed)",6,yardakdak_mp3 yardakdak_wav yardakdak_eaf yardakdak_xml yardakdak_tsv,41,KL01,female,57,no,1961,no,TN,2018,128.48798185941044,visser2020
