ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mckalamang,Kalamang,Papunesia,-3.47037,132.678,kara1499,,"Papuan, West Bomberai","West Papua, Indonesia",Maas and Antalisa
en,English,,,,stan1293,,,,
